time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,rollout/success_rate,time/time_elapsed,time/episodes,time/total_timesteps,train/learning_rate,train/actor_loss,train/n_updates,train/critic_loss
4,-0.8585186399999998,6.35,0.88,5495,2220,23297,0.001,0.20746400207281113,23203,2.5924072663959425e-05
4,-0.8592671900000001,6.39,0.89,5511,2230,23363,0.001,0.1936672031879425,23268,2.1708936628783704e-05
4,-0.8598486900000001,6.39,0.89,5528,2240,23434,0.001,0.2007866076060704,23339,3.449080915223541e-05
4,-0.8636309600000002,6.39,0.89,5544,2250,23500,0.001,0.20762819424271584,23407,3.346478547427978e-05
4,-0.8627087900000001,6.44,0.91,5559,2260,23564,0.001,0.217136772615569,23471,4.2657030072794964e-05
4,-0.8618376099999999,6.37,0.89,5573,2270,23623,0.001,0.20618865745408194,23528,2.019938022255831e-05
4,-0.8493880900000002,6.36,0.89,5589,2280,23687,0.001,0.21338516287505627,23594,4.469290115594049e-05
4,-0.8655957800000001,6.41,0.89,5604,2290,23752,0.001,0.20244918763637543,23660,4.5281354687176645e-05
4,-0.8709225,6.48,0.9,5621,2300,23822,0.001,0.2134725507348776,23729,5.4219414550971123e-05
4,-0.88521007,6.6,0.92,5638,2310,23890,0.001,0.21033027271429697,23795,3.312335320515558e-05
4,-0.88115948,6.6,0.93,5654,2320,23957,0.001,0.2125949040055275,23864,2.244022562081227e-05
4,-0.87931078,6.5,0.91,5667,2330,24013,0.001,0.21023743227124214,23923,2.3737151650493615e-05
4,-0.8660096299999998,6.43,0.9,5682,2340,24077,0.001,0.20388494183619818,23984,2.743236382229952e-05
4,-0.86515973,6.47,0.91,5699,2350,24147,0.001,0.21438798095498765,24053,1.7758083491311743e-05
4,-0.8661595599999999,6.52,0.91,5716,2360,24216,0.001,0.21971121856144496,24122,2.7968737673031035e-05
4,-0.87013745,6.57,0.92,5731,2370,24280,0.001,0.21787607669830322,24185,2.4782801379582713e-05
4,-0.87230897,6.57,0.91,5747,2380,24344,0.001,0.2226205418507258,24247,2.0948887140548322e-05
4,-0.8614664299999998,6.47,0.89,5760,2390,24399,0.001,0.21174506843090057,24305,2.4739325453992933e-05
4,-0.8673743899999999,6.49,0.89,5777,2400,24471,0.001,0.2173821393932615,24377,4.2829945284341064e-05
4,-0.8581016699999999,6.51,0.9,5794,2410,24541,0.001,0.21463942102023534,24448,2.543157747173349e-05
4,-0.85816062,6.48,0.89,5809,2420,24605,0.001,0.21029705660683767,24511,1.7690394348132292e-05
4,-0.86118589,6.6,0.92,5826,2430,24673,0.001,0.22101242654025555,24580,2.176703310396988e-05
4,-0.87239822,6.67,0.93,5843,2440,24744,0.001,0.21557201657976424,24647,2.0600421131738195e-05
4,-0.8764797499999999,6.66,0.93,5859,2450,24813,0.001,0.2101262296949114,24720,2.28622775466647e-05
4,-0.8673899100000001,6.56,0.91,5874,2460,24872,0.001,0.21179562594209397,24779,2.3255452366096767e-05
4,-0.8756117299999999,6.65,0.91,5891,2470,24945,0.001,0.2119903862476349,24851,2.2419846573029645e-05
4,-0.8801549999999999,6.7,0.92,5908,2480,25014,0.001,0.2267854486902555,24920,2.1845088970925037e-05
4,-0.8845111300000003,6.81,0.94,5923,2490,25080,0.001,0.2102826706000737,24986,3.075310477080555e-05
4,-0.87862216,6.68,0.92,5938,2500,25139,0.001,0.21599063525597254,25047,2.278003436610258e-05
4,-0.8694794599999999,6.59,0.91,5952,2510,25200,0.001,0.21830906718969345,25107,2.0270777895348147e-05
4,-0.8628302800000001,6.57,0.91,5967,2520,25262,0.001,0.2161975234746933,25169,3.315256835776381e-05
4,-0.8700256600000001,6.52,0.9,5982,2530,25325,0.001,0.21769144386053085,25231,2.7737157324736472e-05
4,-0.86395051,6.37,0.86,5996,2540,25381,0.001,0.20691375682751337,25291,5.033042422534587e-05
4,-0.8614387099999999,6.39,0.86,6013,2550,25452,0.001,0.21462655067443848,25359,2.130028172229816e-05
4,-0.8682686700000001,6.43,0.87,6028,2560,25515,0.001,0.23269550999005637,25421,3.1998002972007576e-05
4,-0.8515712199999999,6.33,0.88,6043,2570,25578,0.001,0.2251348772219249,25485,1.9776367740372996e-05
