time/time_elapsed,time/fps,time/episodes,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/success_rate,train/n_updates,train/actor_loss,train/critic_loss,train/learning_rate
13081,4,7860,55243,5.93,-0.6285652599999999,0.99,55159,0.2141042153040568,0.0021737999437997737,0.001
13097,4,7870,55307,5.92,-0.61809548,0.99,55221,0.21398800984025002,0.001992161516682245,0.001
13110,4,7880,55363,5.81,-0.60350806,0.99,55280,0.21366121371587118,0.0017213346242594223,0.001
13123,4,7890,55420,5.86,-0.6004104,0.99,55335,0.21026479452848434,0.0017841016524471343,0.001
13136,4,7900,55474,5.83,-0.5919425500000001,0.99,55393,0.209405355155468,0.0018710584845393896,0.001
13148,4,7910,55527,5.77,-0.59243678,0.97,55440,0.20664507895708084,0.0018116715364158154,0.001
13162,4,7920,55586,5.78,-0.59221242,0.97,55502,0.20742454131444296,0.0018211738012420635,0.001
13175,4,7930,55640,5.73,-0.58038073,0.96,55557,0.20384317139784494,0.001833455675902466,0.001
13189,4,7940,55701,5.72,-0.56929445,0.96,55618,0.21305429562926292,0.00222322645796729,0.001
13204,4,7950,55764,5.79,-0.5880259300000001,0.96,55681,0.21739249924818674,0.0021108878842954126,0.001
13219,4,7960,55825,5.82,-0.59895474,0.96,55742,0.2147245705127716,0.001752880576532334,0.001
13234,4,7970,55889,5.82,-0.60813867,0.95,55804,0.2237801800171534,0.002153816109057516,0.001
13249,4,7980,55952,5.89,-0.6187376499999999,0.95,55866,0.19486039504408836,0.001815475639887154,0.001
13263,4,7990,56011,5.91,-0.62359733,0.94,55927,0.21351470053195953,0.002349206401656071,0.001
13279,4,8000,56080,6.06,-0.63018449,0.95,55995,0.22982192784547806,0.002140116272494197,0.001
13296,4,8010,56152,6.25,-0.63493089,0.97,56065,0.21231716126203537,0.0016251715598627925,0.001
13310,4,8020,56211,6.25,-0.6341975599999999,0.97,56125,0.21860171109437943,0.002109564607962966,0.001
13325,4,8030,56274,6.34,-0.6539112999999999,0.98,56189,0.2159227505326271,0.001712224562652409,0.001
13341,4,8040,56338,6.37,-0.6576131599999999,0.98,56253,0.21402955055236816,0.0019709035521373154,0.001
13355,4,8050,56398,6.34,-0.6487178499999999,0.98,56314,0.2141482631365458,0.001883330917917192,0.001
13369,4,8060,56456,6.31,-0.6300420099999999,0.98,56373,0.20762290060520172,0.001984507165616378,0.001
13384,4,8070,56519,6.3,-0.61384686,0.99,56434,0.21003219981988272,0.0018837444949895144,0.001
13396,4,8080,56571,6.19,-0.59608938,0.99,56487,0.1951855719089508,0.002185537409968674,0.001
13410,4,8090,56628,6.17,-0.59116634,1.0,56542,0.2030965785185496,0.0018139074789360165,0.001
13425,4,8100,56692,6.12,-0.59578135,1.0,56608,0.23261164128780365,0.0018130398627060156,0.001
13438,4,8110,56745,5.93,-0.5768535100000001,0.99,56664,0.2152234266201655,0.001777002972085029,0.001
13451,4,8120,56803,5.92,-0.57458797,0.99,56717,0.21128429472446442,0.0020319961477071047,0.001
13466,4,8130,56862,5.88,-0.5580185599999999,0.99,56778,0.20388616248965263,0.0017931406951642462,0.001
13481,4,8140,56927,5.89,-0.55873529,0.99,56841,0.2185575614372889,0.0019312999405277271,0.001
13494,4,8150,56983,5.85,-0.5504432100000001,0.99,56899,0.21176117161909738,0.0018609414692036808,0.001
13509,4,8160,57043,5.87,-0.5591132000000001,0.99,56960,0.21528055891394615,0.0016705644416755863,0.001
13522,4,8170,57098,5.79,-0.5529396599999999,0.99,57013,0.2147853523492813,0.001466245943447575,0.001
13537,4,8180,57162,5.91,-0.5744988900000001,0.98,57078,0.22241511195898056,0.0021122017642483115,0.001
