rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/success_rate,time/episodes,train/actor_loss,train/critic_loss,train/n_updates,train/learning_rate
-0.69382677,68246,16532,5.82,4,0.84,10520,0.1515520066022873,7.0991682150634e-05,68140,0.001
-0.6850994,68298,16545,5.63,4,0.83,10530,0.17947359383106232,3.745793947018683e-05,68191,0.001
-0.6773512199999999,68356,16559,5.58,4,0.82,10540,0.17590642614024027,5.945841725666209e-05,68254,0.001
-0.69510523,68420,16574,5.71,4,0.85,10550,0.17477976637227194,7.354234548984095e-05,68313,0.001
-0.68899382,68470,16587,5.63,4,0.82,10560,0.17607446759939194,5.832491297041997e-05,68368,0.001
-0.7067266999999998,68535,16602,5.77,4,0.83,10570,0.17724781376974924,6.206920651103636e-05,68427,0.001
-0.6987797099999998,68573,16612,5.64,4,0.8,10580,0.16696619348866598,4.7801542158205325e-05,68471,0.001
-0.7035143500000001,68633,16626,5.64,4,0.79,10590,0.1684653695140566,7.145445072507885e-05,68525,0.001
-0.69676978,68689,16640,5.58,4,0.77,10600,0.17540255188941956,6.194868838065304e-05,68587,0.001
-0.7064012799999999,68762,16658,5.7,4,0.78,10610,0.1775970948593957,8.391667454686415e-05,68655,0.001
-0.7172331200000001,68825,16673,5.79,4,0.79,10620,0.17374024291833243,7.29525339314326e-05,68717,0.001
-0.7218531899999999,68876,16686,5.78,4,0.79,10630,0.16789618134498596,4.206485270212094e-05,68770,0.001
-0.7110905300000003,68927,16698,5.71,4,0.79,10640,0.1627318799495697,3.763668828469235e-05,68822,0.001
-0.7039309399999998,68987,16713,5.67,4,0.78,10650,0.16354922950267792,6.67252916173311e-05,68881,0.001
-0.7077822099999999,69045,16727,5.75,4,0.81,10660,0.17901555945475897,7.93439843012796e-05,68939,0.001
-0.70933557,69123,16746,5.88,4,0.82,10670,0.177452119688193,3.868280145979952e-05,69016,0.001
-0.7255262499999996,69187,16762,6.14,4,0.88,10680,0.17362262521471297,4.9142368620128506e-05,69081,0.001
-0.7199616499999999,69244,16775,6.11,4,0.89,10690,0.18192049860954285,5.988655539113097e-05,69138,0.001
-0.73119689,69307,16791,6.18,4,0.91,10700,0.1708829939365387,4.076862314832397e-05,69202,0.001
-0.7251583500000001,69364,16805,6.02,4,0.89,10710,0.17425269385178885,7.390179113523725e-05,69262,0.001
-0.71964075,69424,16819,5.99,4,0.89,10720,0.17522636552651724,7.054904199321754e-05,69316,0.001
-0.7137653999999999,69479,16833,6.03,4,0.9,10730,0.16777227818965912,7.394839303742629e-05,69373,0.001
-0.7251270599999999,69545,16849,6.18,4,0.92,10740,0.1680474238736289,6.450253360006692e-05,69438,0.001
-0.7188688700000001,69601,16863,6.14,4,0.91,10750,0.17001614967981973,5.325431326734057e-05,69499,0.001
-0.71846943,69661,16877,6.16,4,0.91,10760,0.17689018164362227,5.6283202866325155e-05,69554,0.001
-0.6941755700000001,69704,16888,5.81,4,0.87,10770,0.16939334571361542,5.0221517085446976e-05,69602,0.001
-0.6911496999999999,69766,16903,5.79,4,0.87,10780,0.17144830276568732,5.648025550423578e-05,69660,0.001
-0.7026602899999999,69837,16920,5.93,4,0.88,10790,0.17769720405340195,4.99507723361603e-05,69730,0.001
-0.70239502,69898,16935,5.91,4,0.87,10800,0.17780882120132446,4.646033339668065e-05,69791,0.001
-0.70419919,69961,16950,5.97,4,0.88,10810,0.18241299475942338,4.2849299851306046e-05,69853,0.001
-0.70444068,70018,16964,5.94,4,0.86,10820,0.1752165680130323,5.959793694880015e-05,69910,0.001
-0.71560255,70080,16979,6.01,4,0.87,10830,0.17440870652596155,4.50018033006927e-05,69972,0.001
-0.70141786,70132,16992,5.87,4,0.85,10840,0.1771626571814219,4.5676413113445356e-05,70026,0.001
-0.6988917499999999,70184,17005,5.83,4,0.85,10850,0.16186727583408356,7.410798571072519e-05,70077,0.001
-0.7067624199999999,70243,17019,5.82,4,0.85,10860,0.18248823285102844,5.59111031179782e-05,70136,0.001
-0.7245182699999999,70303,17034,5.99,4,0.89,10870,0.17152352929115294,5.0974881742149594e-05,70197,0.001
-0.7253118400000002,70362,17048,5.96,4,0.88,10880,0.17799502611160278,4.169057441079834e-05,70256,0.001
-0.7136918900000001,70421,17063,5.84,4,0.87,10890,0.17506309066499984,4.438986590165379e-05,70319,0.001
-0.7020154700000002,70475,17076,5.77,4,0.85,10900,0.1817002637045724,3.750803391864922e-05,70368,0.001
-0.6958212700000002,70534,17090,5.73,4,0.85,10910,0.17924200184643269,5.425079916676623e-05,70428,0.001
-0.6970392799999999,70597,17106,5.79,4,0.87,10920,0.17376481741666794,4.5992404920980334e-05,70495,0.001
-0.69295151,70654,17119,5.74,4,0.86,10930,0.1760199318329493,4.530180315972151e-05,70546,0.001
-0.68940645,70701,17131,5.69,4,0.85,10940,0.17316651592652002,4.4261173267538347e-05,70599,0.001
-0.6911085299999999,70763,17146,5.79,4,0.87,10950,0.17452804495890936,4.366810026112944e-05,70658,0.001
-0.6899551899999998,70826,17161,5.83,4,0.88,10960,0.17705629340239934,5.28769705852028e-05,70720,0.001
-0.7101244499999999,70897,17179,5.94,4,0.88,10970,0.17533097522599356,4.573583698532145e-05,70790,0.001
