time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/success_rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef,train/actor_loss,train/ent_coef_loss,train/n_updates,train/learning_rate,train/critic_loss
4,13620,55320,8780,0.78,-0.68753019,5.94,0.0045438483357429504,0.29164379835128784,-0.025768637657165527,55219,0.001,0.0001361119793727994
4,13635,55381,8790,0.77,-0.6932441300000001,5.92,0.004550127312541008,0.27363038063049316,0.6954144835472107,55280,0.001,0.0001519004872534424
4,13652,55447,8800,0.78,-0.69957697,6.01,0.0045187692157924175,0.30399370193481445,-0.10792356729507446,55346,0.001,0.00010331992962164804
4,13666,55502,8810,0.79,-0.6947043100000001,5.96,0.004553637001663446,0.3214532434940338,0.40045881271362305,55401,0.001,0.00014284864300861955
4,13680,55561,8820,0.8,-0.69117503,5.93,0.004592563025653362,0.3051028847694397,-0.29498910903930664,55460,0.001,0.000184744261787273
4,13695,55621,8830,0.8,-0.70273447,5.93,0.004526669159531593,0.3312821090221405,0.3056979477405548,55520,0.001,0.00021235040912870318
4,13708,55673,8840,0.79,-0.7064509700000001,5.9,0.004540681838989258,0.3158736228942871,0.7289456725120544,55572,0.001,0.00019215280190110207
4,13724,55736,8850,0.81,-0.71387548,5.94,0.004564184229820967,0.2783035635948181,1.2151150703430176,55635,0.001,8.269531826954335e-05
4,13736,55784,8860,0.79,-0.7149272500000001,5.85,0.004571524914354086,0.3158169388771057,-0.5648022890090942,55683,0.001,0.00020234442490618676
4,13747,55830,8870,0.77,-0.7063473600000001,5.73,0.004569068551063538,0.3287827670574188,1.4687864780426025,55729,0.001,0.00011873698531417176
4,13759,55876,8880,0.75,-0.6997250100000001,5.56,0.004597517196089029,0.3280642330646515,0.4213441014289856,55775,0.001,0.0001516528136562556
4,13771,55925,8890,0.73,-0.6923743900000001,5.44,0.0045812902972102165,0.30894237756729126,0.13843166828155518,55824,0.001,0.00018168189853895456
4,13787,55989,8900,0.73,-0.69485338,5.42,0.0045655821450054646,0.3071499466896057,0.20496606826782227,55888,0.001,0.0001458514598198235
4,13802,56047,8910,0.72,-0.7022698599999999,5.45,0.004588843788951635,0.31481656432151794,1.0883967876434326,55946,0.001,0.0001256480027223006
4,13817,56107,8920,0.71,-0.7194179300000001,5.46,0.004600155632942915,0.29695814847946167,-0.19039839506149292,56006,0.001,0.00020018272334709764
4,13830,56160,8930,0.7,-0.70371809,5.39,0.004618624225258827,0.3002041280269623,0.10269875824451447,56059,0.001,0.00018312269821763039
4,13844,56215,8940,0.7,-0.69616281,5.42,0.004597960039973259,0.3066859245300293,-4.132500171661377,56114,0.001,0.00025501352502033114
4,13859,56277,8950,0.69,-0.68361646,5.41,0.004368305206298828,0.325657457113266,-0.3441466689109802,56176,0.001,0.00019989110296592116
4,13876,56345,8960,0.72,-0.6935914100000001,5.61,0.004489638842642307,0.31251969933509827,-0.23110412061214447,56244,0.001,0.00015025364700704813
4,13888,56394,8970,0.72,-0.6906502599999998,5.64,0.004531277343630791,0.30287235975265503,1.486298680305481,56293,0.001,0.00013623361883219332
4,13906,56463,8980,0.74,-0.7118970599999999,5.87,0.004569650627672672,0.31867915391921997,0.29863208532333374,56362,0.001,0.00028013225528411567
4,13918,56512,8990,0.74,-0.7068180700000001,5.87,0.004516591317951679,0.32149457931518555,0.20248675346374512,56411,0.001,0.0001112176978494972
4,13934,56576,9000,0.74,-0.7087987300000002,5.87,0.0045835101045668125,0.3143266439437866,-0.2953034043312073,56475,0.001,0.00021554663544520736
4,13951,56645,9010,0.76,-0.7123508300000002,5.98,0.004484903998672962,0.29393109679222107,0.04865950345993042,56544,0.001,0.00014797068433836102
4,13963,56694,9020,0.74,-0.6970992200000002,5.87,0.004507404752075672,0.333783358335495,-0.09043020009994507,56593,0.001,0.00016422725457232445
4,13976,56745,9030,0.73,-0.6944045799999999,5.85,0.004496265668421984,0.3279924988746643,-0.06228327751159668,56644,0.001,0.00020398988272063434
4,13990,56803,9040,0.73,-0.70797471,5.88,0.004506431054323912,0.2901651859283447,0.3794589936733246,56702,0.001,0.000251299818046391
4,14007,56871,9050,0.74,-0.7230509799999999,5.94,0.004486998077481985,0.30239659547805786,-0.7480021715164185,56770,0.001,0.00023382426297757775
4,14024,56939,9060,0.73,-0.7163301100000001,5.94,0.004510780330747366,0.30761080980300903,0.05089166760444641,56838,0.001,0.00017770750855561346
4,14040,57002,9070,0.76,-0.7378014100000001,6.08,0.004568310454487801,0.2851788401603699,1.4930707216262817,56901,0.001,0.00011231971438974142
4,14052,57052,9080,0.75,-0.7153276,5.89,0.004641849081963301,0.33076146245002747,0.7324604988098145,56951,0.001,0.000108481923234649
4,14071,57126,9090,0.79,-0.7313935099999999,6.14,0.004624402150511742,0.33335840702056885,0.14034387469291687,57025,0.001,0.00014951519551686943
4,14083,57176,9100,0.78,-0.72063892,6.0,0.004662143532186747,0.28281766176223755,0.1934136152267456,57075,0.001,0.00013994646724313498
4,14097,57231,9110,0.76,-0.7161640599999999,5.86,0.004657561890780926,0.29994845390319824,-1.2325704097747803,57130,0.001,0.00013677318929694593
4,14111,57288,9120,0.77,-0.7243062800000001,5.94,0.004605690948665142,0.28890129923820496,-1.1440973281860352,57187,0.001,0.00018137945153284818
